start	end	text
0	3360	คอนเซ็ปต์ของ Pthanacotinoat อาจจะไม่ได้เฮลิเตเทคมาก
3360	5360	หัวใจมันคือ เราต้องใส่ใจเขานั้นแหละ
5360	8720	เราจะใส่ใจพื้นที่การเกษตรของเราอย่างไร
8720	12040	ให้หมั่นดูแล
12040	14880	ปรับปรุงมีวันหาอะไร ก็ทำสมบัติเสมอ
14880	18780	แต่ว่าการใส่ใจตั้งใจ ทำสมบัติเสมอ
18780	20940	ถ้ามันไม่มีเครื่องมือ มันทำได้ยาก
20940	23500	พื้นที่... เราปลูกผ่าคหน้าบ้าน ออจะพื้นที่เล็ก
23500	25740	แต่พอธรรมรกาศเกษตรพื้นที่ใหญ่
25740	30760	จะเข้าไปดูแลทุก ๆ สุด ทุก ๆ ต้น ทุก อย่าง
30760	32740	ถ้ามันไม่มีเครื่องมือมาช่วย เนี่ย
32740	34580	มันเป็นไปไม่ได้เหลึ
34580	37960	ท่าน ธรรมรกาศเกษตรถุงจุด นี้
37960	39120	ตั้งแต่โอเค
70120	74520	นี่คือเริ่มแรกเราเก็บข้อมูล
74520	77240	คอมูลอันหนึ่งก็คือ พัฒน์ถ่าย
77240	80160	พัฒน์ถ่ายของ ๆ แปงพืช
80160	84240	เราเลือกใช้พัฒน์ถ่ายจากดรอน
84240	86200	มากกว่าพัฒน์ถ่ายดาวเทียม
86200	89460	จริง ๆ ทั้งคู่ก็มีประโยชน์ที่แตกต่างกัน
89460	90960	ดาวเทียมเนี่ยมันโคโจ petrolab รอบโลกอยู่แล้ว
90960	92520	มันได้ข้อมูลทั้งโลก
92520	98520	แต่จุดที่ ภาพถ่ายจากดรอนมันเหนือกว่ามี 2 จุดก็คือ
98520	102520	Spatial resolution หรือความละเอียดเชิงพื้นที่
102520	104520	คำสับที่เขาใช้อันหนึ่งก็คือเป็น
104520	106520	Ground sampling distance ก็คือ
106520	110520	หนึ่งจุดของภาพเนี่ยมันคอบคุมพื้นที่ขนาดไหน
110520	112520	ถ้าเปรียบเทียบภาพถ่ายของดรอนเนี่ย
112520	116520	เราสามารถได้ความละเอียดที่ 50 cm ต่อ 1 pixel
117520	120520	ซึ่งเราสามารถเห็นละเอียดของต้นไม้ได้
120520	123520	ในคณะที่ภาพถ่ายจากดาวเทียมเนี่ย
123520	126520	มันอาจจะละเอียดได้แค่ 15 m ต่อ pixel
126520	131520	ซึ่งเราไม่สามารถรู้ได้เลยว่ามันเกิดอะไรขึ้นในพื้นที่นั้น
131520	135520	เราเห็นมาแค่จุดเดียวก็คือมันใหญ่กว่าต้นไม้ทั้งต้นแล้ว
138520	141520	อีกจุดนึงก็อันนี้เปรียบเทียบ
142520	148520	เป็นภาพสีแล้วก็ภาพ multispectrumของโดนและไดวเทียม
148520	150520	ก็เจอเห็นเลยว่าภาพจากดาวเทียมเนี่ย
150520	156320	เรารอเห็นแนวนมแปลกว่าแปลงนี้ Clear
156320	157520	แปลงข้าง ๆ มันดี มันดี
157520	160520	แต่เราไม่สามารถแยกเลยว่าต้นนี้มันดีไม่ดี
160520	164520	แต่ว่าภาพถ่ายจากโดนน่ะซึ่งมันว่าเลี้ยด แยกได้ถึงขนาดนั้น
164520	168520	ทำให้เรามีข้อมูลที่มากกว่า ตัดสินใจได้ดีกว่า
172520	174520	อีกเรื่องหนึ่งก็คือความเลี้ยดในเชิงเวลา
174520	178520	ดาวเที่ยมเนี่ย เออ มันไม่ได้ข้างฟ้าอยู่ที่เดิม
178520	179520	มันโคจร Frankie Bellen McGraw
179520	183520	แล้วกว่ามันจะกลับมาที่เดิมเนี่ย มันหลักเป็นวัน
183520	185520	และการที่มันกลับมาที่เดิม
185520	187520	มันไม่แปลว่าจะได้ข้อมูลที่เราอยากได้
187520	191520	ถ้ามันกลับมาที่เดิมแล้ววันนั้นฝนตก หรือมีเม cheeksมาก
191520	195520	เราก็พลาดโอกาสที่จะได้ข้อมูลตรงนั้นไป
195520	197520	การที่เราใช้โดรงตร์เนี่ย
197520	200520	ทำให้เรากายข้อมูลตามความต้องการ
200520	203520	ในขณะนั้นที่เราต้องการได้เลย
203520	208520	แล้วก็เราใช้อะไรในการเก็บข้อมูลภาพถ่ายทางอากาศนะครับ
208520	213520	อันนี้จะเปิดวีดีโอตัวโดรนที่เราพัฒนาขึ้นมา
213520	217520	สำหรับงานสำรวจการทำแผ่นที่
223520	230520	ก็เป็นเราเคยเห็นโดรนที่เป็นปีกหมุน บินขึ้นลงแล้วก็ถ่ายภาพได้
231520	235520	ข้อสัมผัสของมันอาจจะควบคุมพื้นที่ได้ขนาดนึง
235520	239520	แต่ตูว่าเมื่อเปรียบเทียบกับเครื่องบินที่ใช้ปีกภาพบิน
239520	243520	มันก็กับอาเซเนซีสูงควาด ขอบคุมพื้นที่ได้เยอะ
243520	247320	ตัวเว็ดท่ายตัวเดิมตอนที่เป็นดรูอนที่และมันก็ bulbiled
247320	251320	มันก็เป็นโดนที่ทะยะควาบความคือ ขึ้นลงแนวดิ่ง
251320	254320	จะมีข้อดี ร่วมข้อดีของสองอย่างเข้าด้วยกัน
254320	258320	คือมันใช้พื้นที่น้อย ทำงานได้ง่าย ขึ้นลง
258320	260320	ถ้าเคยเห็นวิดีโอ จรวด spacex ก็เป็นอย่างนั้น
260320	265320	คือขึ้นไป แล้วก็เปลี่ยนการอากาศบินเหมือนเครื่องบิน
277320	279320	เวชภัณฑ์ขนาดเล็กอะไรพวกนี้
279320	282320	ก็สามารถนำไปใช้ได้นะครับ
282320	286320	ตัวเครื่องก็พามาเป็น carbon fiber
286320	287320	ทำให้มีน้ำหนักเบา
287320	290320	แล้วก็มีประสิทธิภาพในการทำงาน
290320	292320	ควบคุมบินที่ได้มาก
295320	298320	เราก็สามารถติดตั้งพวก computer on board
298320	300320	ในการควบคุมประมวลผล ระบบสื่อสาร
300320	304320	ไม่ว่าจะเป็นขึ้นวิทยุ หรือว่าใช้ 4G 5G อะไรพวกนี้
304320	308320	เราสามารถทำงานร่วมกับตัวโดนตัวนี้ได้นะครับ
317320	319320	แล้วก็ตัวโดนก็ทำงานกับโดนมัส
319320	322320	เราก็มี software ที่ใช้ในการวางแผนว่า
322320	324320	ต้องการให้มัน cover พื้นที่ตรงไหน
324320	326320	แผนการบินเป็นยังไง
326320	327320	ถ่ายภาพโดยเว้นไหน
327320	330320	แล้วก็เพื่อเก็บข้อมูลขึ้นมาประมวลผลต่อไปนะครับ
334320	358320	โอเค ถึงนี้พอเราได้ข้อมูลมาแล้วเนี่ย
358320	361320	เราเอามาวิคล้อใช้ประโยชน์อะไรจากมันได้บ้าง
361320	365320	เริ่มต้อนช่วงเตรียมพื้นที่
365320	370320	เราสามารถใช้ข้อมูลพาผาทายเผื่อมาดู
370320	374320	ว่าพื้นทีนั้น รับเหลียบไหม ได้อาดาบไหม
374320	378320	การที่เราเตรียมแปลงให้มันรับเหลียบกว่า
378320	381320	1 ก็คือทำให้การเกิดกรรมทำงานได้ง่ายค่ะ
381320	384320	แล้วก็...ภื่อการที่ปลูกเป็นระเบียบเนี่ย
384320	388320	มันก็เป็นระเบียบดูแลงงให้ได้ผลผลิตดีกว่า
388320	391320	การที่เตรียมพื้นที่ให้
391320	398320	งานการเช���การเซฟบางอย่าง ต้องการพื้นที่ที่รับเหลี่ยบเลย
398320	400320	งานบางอย่างเขาต้องให้สโลปเล็กน้อย
400320	404320	เพื่อให้น้ำมันไหลจากหัวแปลงไปถ้ายแปลงได้ง่าย
404320	408320	ทำให้ประหยัดต้นทุนในการต้องทำระบบชนระทาน
408320	410320	เพื่อส่งน้ำจากหัวแทงแปลงไปถ้ายแปลง
410320	413320	ถ้าเกิดทำสโลปเลยเนี่ย น้ำมันก็ค่อยๆอาหลายไปเอง
413320	415320	ตามธรรมชาติ ตามแรงนมถ่วงได้
415320	419320	ก็เริ่มมาเราก็ใช้ข้อมูลพวกนี้ตั้งแต่การเตรียมแปลงเลย
423320	425320	ถัดมาก็ อย่างที่เมื่อกี้ให้ดูว่า
425320	429320	เราสามารถใช้ข้อมูล Multi Spectrum
429320	433320	พึ่นมันเข็งแรงไหมมีโรคไหม
434320	436320	มีตัวไหนที่ไม่เข็งแรง
436320	439320	เราสามารถวิคอได้เรียบเป็นจุดๆ
439320	441320	ว่าโซนนี้ loin our
441320	455320	ก็อาจจะรู้ได้ว่า
455320	457320	นอกจากดูความเข็งแรงแล้วเนี่ย
457320	459320	เรายังสามารถทำมordeo
459320	461320	เพื่อวิคอต่อไปได้
461320	463320	เช่นในอ้อย
463320	468320	เราสามารถประเมินความหวานในอ้อยได้
468320	470320	เขาจะเรียกว่าเป็นคากไบริ๊ค
472320	474320	และทรัพย์ตรงกลางเป็นคารุ่นทรี
474320	476320	พารั้งซ้ายเร specs odes
476320	478320	ข้าคอเตคของคาดนองตาละยังไง
481320	483320	และถ้าเราประเมินได้ว่า
483320	485320	็ว่าต้นอ้อยมันสูงขนาดไหน
485320	487320	ในแป้งนันมีพื้นที่เท่าไหร่
487320	489320	มันมีวอลุมเท่าไหร่
489320	491320	จะมี... ผลผลิจกี่ตัน
491320	493320	แลณถ้าเรารู้ว่ามันมี content ของน้ำตาล
493320	495320	ก็สามารถประเมินผลผลิจสนุค
495320	499320	ว่าไป้งนี้มันจะมีน้ำตาลได้ countdown数ได้
505320	507320	อันนี้ก็จะเป็นภารกิจตัวอาหาร
507320	509320	เปิดเราใส่ใว้ข้อ childcare
509320	510880	หรือไม่
510880	514880	ตอนนี้ content ของน้ำตาลมันเพิ่มขึ้น
514880	516880	แนวนมเป็นยังไง
516880	518880	มันเพิ่มขึ้นหรือลดลง
518880	520880	หรือถึงจุดที่เหมาะสมแล้วหรือยัง
520880	526880	แปลงมันมีค่าความหวานสำหรับเสมอทั่วพื้นที่หรือเปล่า
530880	532880	ทีนี้พอได้ข้อมูล
532880	536880	เราก็มาวางแผนต่อว่า
536880	538880	แล้วจากข้อมูลที่เราวิคอมมาได้
538880	542880	เราจะตอบสะนองกับมันยังไงได้บ้าง
542880	544880	แล้วก็สามารถมาดูอย่างถ้าพื้นมันขาดน้ำเวยๆ
544880	546880	หรือขาดสาติอาหารなたุ Quemery
546880	556880	หรือ รวรรณ์ พื้น มะแรง
556880	558880	เราสามารถดูแลเฉพาะจุดได้
558880	560880	แทนที่เราไม่มีข้อมูลแบบนี้
560880	562880	เราอาจจะต้องให้ปุหยเท่างแปลงเลย
562880	564880	รู้ว่าเพิ่มน้ำเท่าแปลงเลย
684880	694880	ต่อไปก็เป็นการแอคชั่นแล้วว่า
694880	700880	เรารู้ว่าถ้าเราต้องให้ปุหยให้สันเชมี
700880	702880	และต้องการให้เพิ่มช้อจ่อจงไปไหน
702880	706880	เราก็สามารถใช้โดนเข้าไปช่วย
706880	712880	ในการพ้นยา พ้นปุหย พ้นฮอมโมนให้พืชได้
713880	720880	เมื่อข้อมูลเมื่อ สันนี้
720880	722720	อันหนี้มีสองนโลก
722720	723440	จริงๆแล้ว
723440	724380	ส investigate ของเราก่อน
724380	725160	โคตรใกล้ใจ
725160	727480	อันนี้ก็จะเป็นโดนที่ชื่อว่าไทยกระดôนะ
727480	728860	ที่เป็นโดนที่เราพัฒนาขึ้นมา
728860	730640	ก็จะเป็นโดนที่พัฒนามา
730640	733500	เพื่อสำหรับงานฉีดผ่นทางการเกราะเศよね
764320	767820	เพื่อแต่ละชนิดจะต้องบินรักษณะไหน
767820	769620	บินเร็วเท่าไหร่
769620	772500	เพื่อให้คบคุมกลุ่มอำมาตย์น้ำ
772500	774500	และให้น้ำได้อย่างเหมาะสม
774500	776500	ตัว software เราก็
776500	778900	วางแผ่นการบินเราก็พัฒนาขึ้นมา
778900	781500	เพื่อตอบจวดพรุ่งนี้
781500	783900	เพราะเราคุยกับเกษตรกร
783900	786400	เรารู้ว่าเทคนิดการทำงานก็เป็นยังไง
787300	790100	การผสมขาดนั้นจะมีการใช้งานเป็นยังยร์
790100	793300	ตัว software ก็สามารถคำนวลให้ได้
793300	797300	ว่าพื้นที่ใหญ่เท่านี้จะฉี่ดผ่นสาฬนเชมีนี้
797300	800400	ด้วยพื้นที่เท่านี้มันจะต้องใช้สานเคมีขนาดไหน
800400	802600	ถ้าใช้สานเคมีขนาดนี้แล้ว
804100	807100	แล้วต้องผสมสานเคมีต่อน้ำเท่าไหร่
807100	808680	บินหนึ่งรอบด้วยแบตเตอรี่
808680	810520	ด้วยสานเท่านี้
811020	813520	ถ้าแปลงใหญ่เท่านี้ มันจะต้องบิน
813520	816520	แล้วแบตหมด น้ำหมดตรงไหน กลับมาเติมตรงไหน
816520	819520	แล้วบินครั้งต่อไปจะต้องใช้สานเท่าไหร่
819520	822020	Software ก็จะช่วยประโมนผล คิดตัดสินใจ
822020	826020	แล้วก็แจ่งให้กระเศรษฐกรทำตามนั้น
826520	830520	จะได้ไม่ต้องมานั่งดาวว่า ยังใช้เยอะขนาดไหน
830520	833520	มีการคิดตัดสินใจให้อย่างเป็นระบบ
834520	837620	แล้วก็ การบินเป็นอย่างที่ว่า
837620	839520	เราสามารถควบคุมให้กระแยงแม่นยำ
839520	843520	เราก็ทำให้มันบินแล้ว พ้นสารกิมี
843520	847520	ได้ทั่วถึงเสมอ เพิ่มมากเป็นพิเศษ
847520	848520	ในบางจุดที่มันต้องการ
848520	850520	หรือว่าโดยรูปแบกการบิน
851520	853520	ถัวปลางใทพังที่มันถึงต้องชะรา
853520	855520	ทำอย่างไรให้สารกิมี
855520	856520	ไม่ไปลงบริเวณนั้นเยอะ
856520	859520	รูปแบกการบินจะต้องยกตัวขึ้ม
859520	862520	ไม่ให้ลมมันตีแรง หยุดพ้นช่วาข้าว
862520	865520	เพื่อให้ไม่มีสารไปลงตรงนั้น
865520	867520	ตัวซอฟแวททั้งสองที่ผมสั่งเชียงใจ
867520	869520	มันก็สามารถควบคุมทำงานได้อย่างแม่นยำ
869520	873520	แล้วก็ในกลุ่มที่พื้นที่มันใหญ่มาก
873520	876520	ดรวนตัวหนึ่งไม่สามารถทำงานควบคุมได้ทันเวลา
876520	879520	ดรวนหลายๆตัวก็สามารถทำงานพร้อมๆกันได้
879520	882520	วางแผนแล้วก็ส่งแผนการบินให้
882520	884520	ดรวนหลายๆวัยเรางทำงานพร้อมกัน
884520	886520	เป็นการถืนแรงปะหยัดเวลา
886520	889520	แทนที่สารการคนหนึ่งจะทำได้เท่านี้
889520	892520	ก็สามารถทำได้ในเวลาที่เท่ากัน
892520	895520	โปรดติดตามตอนต่อไป
922520	924520	ก็สร้างไหล่ดาลให้กับเขาย lambdaio.com เยอะกว่าด้วย
924520	926520	เพราะว่าเกษรรทธิกอนก็ไม่ได้พ้นเองหรอก
926520	927520	เขาก็จ่าง
927520	931520	ก็ผู้รับจ่าง เขาก็ทำงานได้เยอะขึ้นในต่อวัน
935520	939520	แล้วก็นิ่ง ๆ นอกเหนื่อยจากตัวโดรนที่เป็น commercial
939520	941520	อ่ะ โปรดักของเราเนี่ย
941520	944520	เราก็ยังมีการ มีอย่างธรรมดต์
944520	946520	อย่างอื่นที่เรามีการ
946520	950520	อ่ะ ใช้งานรักษณะอื่น หรือทดลองใช้ที่
950520	952520	ปัจจุบันยังไม่ได้ใช้การเกษร แต่สามารถอันประยุค
952520	954520	ใช้การเกษรได้
954520	956520	โอเค
965520	967520	ก็อาจจะเป็นตัวผลยนภาคพื้นที่
967520	969520	อ่ะ สามารถเข้าไปทำงาน
969520	971520	ในที่ต่าง ๆ แทนคนได้
971520	975520	อ่ะ อย่างเช่น อ่า เอาไปรับส่งของ แบกของหนัก ๆ
975520	975520	
977520	978520	ในฟาร์ม
978520	981520	ที่ทำให้เราไม่ต้องไปเสียงกับการสัมผัส
981520	983520	กับโลรก สัตว์ และพวกนี้
983520	985520	แล้วก็อาจจะไปทำงานใน lines
985520	987520	ช่วยในการ วัดเก็บข้อมุน
987520	989520	หรือเข้าไปฉีด พ้น ตัด
989520	993520	อ่า วัจฉะพืช อะไรพวกนี้เป็นต้น
995520	998520	ย่อ เป็น เป็นขุนเยินภาคพื้นตัวหนึ่ง
998520	1002520	ที่สามารถเข้าไปทำงานตามพื้นที่ต่าง ๆ แทนได้นะครับ
1013520	1014520	โอเค
1015520	1017520	โอเค หรืองานผิวน้ำ
1022520	1025520	แล้วก็สามารถมีเรือที่เข้าไป
1031520	1036520	ทำแผ่นที่ว่า บ่อน้ำนี่มันลึกเท่าไหร่
1036520	1038520	พื้นที่เท่าไหร่ ปล่อยมากกับเก็บน้ำได้เท่าไหร่
1038520	1040520	สามารถวางแผ่นได้ว่า โอเค
1040520	1042520	บ่อนี้ มันจะ ท่าน่าฝนมา
1042520	1044520	มันจะลองรับปล่อยมา น้ำกับเก็บได้เท่าไหร่
1044520	1045520	หรือว่า
1045520	1047520	ถ้าเอาไปใช้ในงาน
1047520	1050520	ตรวจuatesพื้นทถาภาภ
1050520	1052520	วัดค่าต่าง ๆ ของน้ำ
1052520	1055520	ว่าน้ำ มีความ สะสะอากระเพาะ สกปกขนาดไหน
1055520	1057520	มี เชื้อโรคอะไรไหม
1057520	1059520	หรือถ้าเกิดกาลลี้งสันน้ำ
1060520	1062520	เรียนสันน้ำ ก็สามารถเอาไปใช้
1062520	1064520	ตรวจบรรควัลภาพน้ำ
1064520	1067520	ไปมอนนิตเตอร์ การเรียนสันน้ำได้ เช่นกันนะครับ
1067520	1069520	ตัวเรียก็
1069520	1071520	สามารถติดต่างอุปกรณ์ได้ ใหญ่ ๆ อย่าง
1071520	1073520	เช่น เครื่องวัดความขลุด
1073520	1074520	เครื่องวัด
1074520	1075520	ค่า
1075520	1077520	ควรภาพ น้ำได้
1089520	1097520	การทำงานทางวันก็จะคล้าย ๆ กับดรอน
1097520	1099520	ก็คื่อเราก็สามารถ
