start	end	text
0	4000	Our concept is not very high-tech.
4000	12000	We have to pay attention to how we take care of our farmland.
12000	15000	If there's a problem, we always help.
15000	21000	But if we don't have the tools, it's hard to do it.
21000	31000	When we grow vegetables in a small area, we have to take care of it every day.
31000	35000	Without tools, it's impossible to do it.
35000	38000	This is where technology comes in handy.
38000	44000	We collect data on plants.
44000	55000	We use the data to analyze how we can improve our farmland.
55000	58000	Once we understand it, we respond to it.
58000	60000	We take action.
60000	63000	If there's a problem, what can we do to fix it?
63000	69000	We take action to improve our farmland.
70000	76000	This is how we collect data.
76000	78000	This is an example.
78000	83000	This is a photo of a plant.
83000	88000	We choose to use a drone photo rather than a satellite photo.
88000	92000	Both have different benefits.
92000	95000	The satellite photo has all the data in the world.
95000	100000	But the drone photo has two advantages.
100000	105000	The first is spatial resolution.
105000	112000	The second is ground sampling distance.
112000	118000	The drone photo is 50 cm by 1 pixel.
118000	121000	We can see the details of the plant.
121000	127000	The satellite photo is only 15 m by 1 pixel.
127000	131000	We can't see what's going on in that area.
131000	133000	We can only see one point.
133000	135000	It's bigger than the plant itself.
139000	149000	This is a comparison of drone and satellite photos.
149000	157000	We can see that the satellite photo has good and bad grounds.
157000	161000	But we can't tell what's good or bad about the plant.
161000	163000	But the drone photo is more detailed.
163000	165000	We can tell the difference.
165000	167000	We have more information.
167000	169000	We can make better decisions.
173000	175000	Another thing is the detail in time.
175000	179000	The satellite photo doesn't stay in the same place forever.
179000	184000	It stays in the same place for a day.
184000	188000	It doesn't mean that we can get the information we want.
188000	192000	If it rains heavily that day,
192000	196000	we will miss the opportunity to get the information.
196000	203000	We can get the information we want by using a drone.
206000	212000	What do we use to get the information?
212000	220000	I will show you the drone that we developed for space exploration.
226000	233000	We have seen a drone that can fly up and down and take photos.
233000	237000	The only limitation is that it can control the area.
237000	240000	But compared to a plane that uses wings,
240000	242000	it has more efficiency.
242000	244000	It can control the area more.
244000	247000	Vettel is a drone that we developed.
247000	250000	It can fly up and down.
250000	254000	There are two advantages.
254000	255000	It uses less area.
255000	256000	It's easy to work.
256000	257000	It can fly up and down.
257000	259000	If you have seen the video of space exploration,
259000	260000	it will be like that.
260000	261000	It can fly up and down.
261000	265000	It can fly like a plane.
265000	267000	It can control the area more.
267000	272000	It can be used for space exploration.
